read_id,true_state,predicted_state,motif_score,inner_flank_score,outer_flank_score
read_00000,accessible,accessible,0.6666666666666666,0.8333333333333334,0.9
read_00001,nucleosome,unclassified,0.3333333333333333,0.25,0.3125
read_00002,accessible,accessible,1.0,,0.8888888888888888
read_00003,nucleosome,unclassified,,,0.3333333333333333
read_00004,nucleosome,unclassified,,,0.5
read_00005,accessible,unclassified,,,
read_00006,nucleosome,unclassified,,,
read_00007,nucleosome,unclassified,0.3333333333333333,0.16666666666666666,0.3076923076923077
read_00008,accessible,unclassified,,,0.625
read_00009,accessible,unclassified,,,0.6
read_00010,nucleosome,unclassified,0.0,0.2,0.5
read_00011,accessible,accessible,1.0,0.8,0.9166666666666666
read_00012,accessible,accessible,1.0,0.8333333333333334,0.7777777777777778
read_00013,accessible,accessible,1.0,1.0,1.0
read_00014,nucleosome,accessible,0.3333333333333333,0.2,0.4666666666666667
read_00015,nucleosome,unclassified,,,0.5714285714285714
read_00016,nucleosome,unclassified,,0.0,0.2
read_00017,nucleosome,nucleosome,0.0,0.16666666666666666,0.25
read_00018,tf_bound,tf_bound,0.0,1.0,1.0
read_00019,tf_bound,tf_bound,0.0,0.8333333333333334,0.8571428571428571
read_00020,accessible,accessible,0.6666666666666666,1.0,0.85
read_00021,accessible,accessible,1.0,1.0,0.8
read_00022,nucleosome,nucleosome,0.0,0.0,0.2
read_00023,tf_bound,unclassified,,,
read_00024,tf_bound,unclassified,,1.0,1.0
read_00025,nucleosome,unclassified,,,
read_00026,tf_bound,tf_bound,0.0,0.6,0.7368421052631579
read_00027,tf_bound,accessible,0.5,1.0,0.9
read_00028,tf_bound,tf_bound,0.0,0.8,0.9230769230769231
read_00029,accessible,accessible,1.0,0.8333333333333334,0.9411764705882353
read_00030,accessible,unclassified,,,0.75
read_00031,accessible,accessible,1.0,0.0,0.5
read_00032,accessible,unclassified,,1.0,1.0
read_00033,accessible,unclassified,,,1.0
read_00034,nucleosome,unclassified,,,1.0
read_00035,accessible,unclassified,,,0.75
read_00036,accessible,accessible,1.0,0.8333333333333334,0.9473684210526315
read_00037,accessible,unclassified,,,1.0
read_00038,accessible,unclassified,,,1.0
read_00039,nucleosome,unclassified,,0.3333333333333333,0.36363636363636365
read_00040,tf_bound,accessible,0.3333333333333333,1.0,0.8571428571428571
read_00041,nucleosome,unclassified,,,0.2857142857142857
read_00042,nucleosome,unclassified,0.3333333333333333,0.0,0.29411764705882354
read_00043,accessible,accessible,1.0,0.8333333333333334,0.8947368421052632
read_00044,nucleosome,unclassified,,0.0,0.36363636363636365
read_00045,accessible,accessible,1.0,0.8,0.8235294117647058
read_00046,accessible,accessible,0.6666666666666666,0.5,0.8125
read_00047,accessible,unclassified,,,
read_00048,nucleosome,unclassified,,,0.6
read_00049,tf_bound,tf_bound,0.0,0.8333333333333334,0.7333333333333333
read_00050,accessible,unclassified,,1.0,0.7777777777777778
read_00051,tf_bound,tf_bound,0.0,1.0,0.8461538461538461
read_00052,accessible,unclassified,,,1.0
read_00053,nucleosome,nucleosome,0.0,0.2,0.4
read_00054,accessible,accessible,1.0,1.0,0.9
read_00055,accessible,unclassified,,,0.875
read_00056,accessible,accessible,0.5,1.0,0.8235294117647058
read_00057,tf_bound,tf_bound,0.0,1.0,0.8
read_00058,accessible,unclassified,,,1.0
read_00059,accessible,accessible,1.0,1.0,1.0
read_00060,accessible,unclassified,,0.0,0.5555555555555556
read_00061,unclassified,accessible,1.0,0.5,0.8
read_00062,nucleosome,nucleosome,0.0,0.16666666666666666,0.14285714285714285
read_00063,nucleosome,tf_bound,0.0,0.6,0.3333333333333333
read_00064,accessible,accessible,1.0,1.0,1.0
read_00065,unclassified,unclassified,,,1.0
read_00066,nucleosome,unclassified,,,0.5
read_00067,nucleosome,unclassified,,0.0,0.3
read_00068,accessible,accessible,1.0,1.0,1.0
read_00069,accessible,accessible,0.6666666666666666,1.0,0.8181818181818182
read_00070,accessible,unclassified,,,0.7777777777777778
read_00071,nucleosome,unclassified,,,0.14285714285714285
read_00072,tf_bound,tf_bound,0.0,1.0,1.0
read_00073,accessible,unclassified,,1.0,0.8888888888888888
read_00074,accessible,unclassified,,,
read_00075,tf_bound,unclassified,,0.3333333333333333,0.75
read_00076,accessible,unclassified,,,
read_00077,nucleosome,unclassified,,0.0,0.2222222222222222
read_00078,nucleosome,nucleosome,0.0,0.0,0.3333333333333333
