read_id	strand	insert_start	insert_end	n_meth_gpc	n_unmeth_gpc
NUC:1:1:1:1	-	75	625	49	53
NUC:1:1:2:2	-	75	625	47	54
NUC:1:1:3:3	-	75	625	46	55
NUC:1:1:4:4	+	75	625	49	54
NUC:1:1:5:5	-	75	625	47	56
NUC:1:1:6:6	+	75	625	47	56
NUC:1:1:7:7	-	75	625	43	56
NUC:1:1:8:8	+	75	625	48	58
NUC:1:1:9:9	-	75	625	43	58
NUC:1:1:10:10	-	75	625	47	56
NUC:1:1:11:11	-	75	625	46	58
NUC:1:1:12:12	-	75	625	47	56
NUC:1:1:13:13	-	75	625	49	51
NUC:1:1:14:14	+	75	625	49	53
NUC:1:1:15:15	-	75	625	48	57
NUC:1:1:16:16	-	75	625	49	54
NUC:1:1:17:17	-	75	625	46	56
NUC:1:1:18:18	+	75	625	47	57
NUC:1:1:19:19	+	75	625	49	57
NUC:1:1:20:20	-	75	625	46	57
NUC:1:1:21:21	+	75	625	45	54
NUC:1:1:22:22	+	75	625	47	55
NUC:1:1:23:23	-	75	625	48	56
NUC:1:1:24:24	-	75	625	47	56
NUC:1:1:25:25	+	75	625	46	50
NUC:1:1:26:26	-	75	625	43	53
NUC:1:1:27:27	+	75	625	47	55
NUC:1:1:28:28	-	75	625	48	58
NUC:1:1:29:29	-	75	625	47	55
NUC:1:1:30:30	+	75	625	47	54
NUC:1:1:31:31	+	75	625	44	51
NUC:1:1:32:32	-	75	625	48	57
NUC:1:1:33:33	-	75	625	45	58
NUC:1:1:34:34	+	75	625	48	56
NUC:1:1:35:35	-	75	625	45	54
NUC:1:1:36:36	+	75	625	48	53
NUC:1:1:37:37	+	75	625	48	55
NUC:1:1:38:38	-	75	625	45	55
NUC:1:1:39:39	-	75	625	48	54
NUC:1:1:40:40	+	75	625	46	57
NUC:1:1:41:41	+	75	625	46	53
NUC:1:1:42:42	-	75	625	46	57
NUC:1:1:43:43	-	75	625	47	55
NUC:1:1:44:44	-	75	625	45	57
NUC:1:1:45:45	-	75	625	45	55
NUC:1:1:46:46	+	75	625	46	53
NUC:1:1:47:47	+	75	625	45	55
NUC:1:1:48:48	+	75	625	48	55
NUC:1:1:49:49	-	75	625	45	56
NUC:1:1:50:50	-	75	625	48	53
NUC:1:1:51:51	-	75	625	49	55
NUC:1:1:52:52	-	75	625	49	56
NUC:1:1:53:53	+	75	625	48	54
NUC:1:1:54:54	+	75	625	46	57
NUC:1:1:55:55	+	75	625	49	55
NUC:1:1:56:56	-	75	625	47	56
NUC:1:1:57:57	-	75	625	42	55
NUC:1:1:58:58	+	75	625	43	53
NUC:1:1:59:59	-	75	625	49	57
NUC:1:1:60:60	+	75	625	44	56
NUC:1:1:61:61	+	75	625	46	57
NUC:1:1:62:62	-	75	625	48	54
NUC:1:1:63:63	+	75	625	46	56
NUC:1:1:64:64	-	75	625	48	55
NUC:1:1:65:65	-	75	625	46	54
NUC:1:1:66:66	-	75	625	47	53
NUC:1:1:67:67	-	75	625	45	57
NUC:1:1:68:68	+	75	625	49	57
NUC:1:1:69:69	-	75	625	44	57
NUC:1:1:70:70	-	75	625	45	56
NUC:1:1:71:71	-	75	625	48	54
NUC:1:1:72:72	+	75	625	48	56
NUC:1:1:73:73	+	75	625	47	56
NUC:1:1:74:74	+	75	625	48	56
NUC:1:1:75:75	+	75	625	46	56
NUC:1:1:76:76	-	75	625	48	58
NUC:1:1:77:77	+	75	625	46	52
NUC:1:1:78:78	-	75	625	47	54
NUC:1:1:79:79	-	75	625	48	55
NUC:1:1:80:80	+	75	625	48	52
NUC:1:1:81:81	-	75	625	48	57
NUC:1:1:82:82	+	75	625	49	56
NUC:1:1:83:83	+	75	625	45	56
NUC:1:1:84:84	-	75	625	46	54
NUC:1:1:85:85	-	75	625	46	57
NUC:1:1:86:86	-	75	625	48	54
NUC:1:1:87:87	+	75	625	45	57
NUC:1:1:88:88	+	75	625	42	55
