read_id	state	strand	insert_start	insert_end
SYNTH:1:1:1:1	nucleosome	+	45	595
SYNTH:1:1:2:2	nucleosome	-	30	580
SYNTH:1:1:3:3	tf_bound	-	17	567
SYNTH:1:1:4:4	tf_bound	+	6	556
SYNTH:1:1:5:5	accessible	+	56	606
SYNTH:1:1:6:6	accessible	+	10	560
SYNTH:1:1:7:7	tf_bound	-	65	615
SYNTH:1:1:8:8	accessible	+	41	591
SYNTH:1:1:9:9	unclassified	-	14	564
SYNTH:1:1:10:10	nucleosome	-	23	573
SYNTH:1:1:11:11	accessible	+	54	604
SYNTH:1:1:12:12	tf_bound	-	26	576
SYNTH:1:1:13:13	nucleosome	-	29	579
SYNTH:1:1:14:14	accessible	-	34	584
SYNTH:1:1:15:15	accessible	+	45	595
SYNTH:1:1:16:16	nucleosome	+	49	599
SYNTH:1:1:17:17	nucleosome	-	50	600
SYNTH:1:1:18:18	accessible	-	38	588
SYNTH:1:1:19:19	accessible	-	0	550
SYNTH:1:1:20:20	nucleosome	+	52	602
SYNTH:1:1:21:21	tf_bound	-	20	570
SYNTH:1:1:22:22	tf_bound	-	48	598
SYNTH:1:1:23:23	accessible	+	26	576
SYNTH:1:1:24:24	accessible	-	11	561
SYNTH:1:1:25:25	accessible	-	5	555
SYNTH:1:1:26:26	tf_bound	+	47	597
SYNTH:1:1:27:27	accessible	+	24	574
SYNTH:1:1:28:28	unclassified	-	65	615
SYNTH:1:1:29:29	accessible	-	29	579
SYNTH:1:1:30:30	tf_bound	+	32	582
SYNTH:1:1:31:31	accessible	+	30	580
SYNTH:1:1:32:32	accessible	-	19	569
SYNTH:1:1:33:33	nucleosome	-	20	570
SYNTH:1:1:34:34	tf_bound	+	8	558
SYNTH:1:1:35:35	nucleosome	-	18	568
SYNTH:1:1:36:36	accessible	-	3	553
SYNTH:1:1:37:37	accessible	+	17	567
SYNTH:1:1:38:38	tf_bound	+	28	578
SYNTH:1:1:39:39	tf_bound	+	5	555
SYNTH:1:1:40:40	accessible	+	56	606
SYNTH:1:1:41:41	accessible	+	39	589
SYNTH:1:1:42:42	nucleosome	-	65	615
SYNTH:1:1:43:43	accessible	-	56	606
SYNTH:1:1:44:44	nucleosome	+	16	566
SYNTH:1:1:45:45	nucleosome	+	42	592
SYNTH:1:1:46:46	accessible	+	55	605
SYNTH:1:1:47:47	tf_bound	-	61	611
SYNTH:1:1:48:48	nucleosome	-	46	596
SYNTH:1:1:49:49	nucleosome	-	34	584
SYNTH:1:1:50:50	nucleosome	-	68	618
SYNTH:1:1:51:51	nucleosome	-	43	593
SYNTH:1:1:52:52	nucleosome	-	50	600
SYNTH:1:1:53:53	nucleosome	+	36	586
SYNTH:1:1:54:54	nucleosome	-	46	596
SYNTH:1:1:55:55	accessible	-	0	550
SYNTH:1:1:56:56	nucleosome	+	3	553
SYNTH:1:1:57:57	accessible	-	47	597
SYNTH:1:1:58:58	tf_bound	-	46	596
SYNTH:1:1:59:59	accessible	+	45	595
SYNTH:1:1:60:60	accessible	-	13	563
SYNTH:1:1:61:61	nucleosome	+	15	565
SYNTH:1:1:62:62	accessible	-	2	552
SYNTH:1:1:63:63	accessible	-	63	613
SYNTH:1:1:64:64	accessible	+	0	550
SYNTH:1:1:65:65	unclassified	-	50	600
SYNTH:1:1:66:66	accessible	+	51	601
SYNTH:1:1:67:67	nucleosome	-	7	557
SYNTH:1:1:68:68	accessible	-	61	611
SYNTH:1:1:69:69	tf_bound	+	5	555
SYNTH:1:1:70:70	unclassified	+	11	561
SYNTH:1:1:71:71	nucleosome	-	70	620
SYNTH:1:1:72:72	unclassified	-	39	589
SYNTH:1:1:73:73	tf_bound	+	37	587
SYNTH:1:1:74:74	unclassified	-	37	587
SYNTH:1:1:75:75	nucleosome	-	43	593
SYNTH:1:1:76:76	nucleosome	-	10	560
SYNTH:1:1:77:77	nucleosome	+	34	584
SYNTH:1:1:78:78	tf_bound	+	17	567
SYNTH:1:1:79:79	accessible	-	56	606
SYNTH:1:1:80:80	tf_bound	-	70	620
SYNTH:1:1:81:81	accessible	-	1	551
SYNTH:1:1:82:82	nucleosome	-	16	566
SYNTH:1:1:83:83	accessible	-	49	599
SYNTH:1:1:84:84	tf_bound	-	25	575
SYNTH:1:1:85:85	tf_bound	-	35	585
SYNTH:1:1:86:86	nucleosome	-	63	613
SYNTH:1:1:87:87	nucleosome	-	31	581
SYNTH:1:1:88:88	accessible	-	4	554
SYNTH:1:1:89:89	tf_bound	+	9	559
SYNTH:1:1:90:90	tf_bound	-	59	609
SYNTH:1:1:91:91	tf_bound	-	43	593
SYNTH:1:1:92:92	nucleosome	-	58	608
SYNTH:1:1:93:93	tf_bound	-	24	574
SYNTH:1:1:94:94	nucleosome	-	47	597
SYNTH:1:1:95:95	tf_bound	-	16	566
SYNTH:1:1:96:96	tf_bound	+	56	606
SYNTH:1:1:97:97	accessible	-	5	555
SYNTH:1:1:98:98	accessible	-	34	584
SYNTH:1:1:99:99	nucleosome	+	41	591
SYNTH:1:1:100:100	nucleosome	-	55	605
SYNTH:1:1:101:101	accessible	-	6	556
SYNTH:1:1:102:102	unclassified	+	16	566
SYNTH:1:1:103:103	nucleosome	+	33	583
SYNTH:1:1:104:104	tf_bound	+	19	569
SYNTH:1:1:105:105	nucleosome	-	62	612
SYNTH:1:1:106:106	tf_bound	+	17	567
SYNTH:1:1:107:107	tf_bound	-	67	617
SYNTH:1:1:108:108	accessible	-	67	617
SYNTH:1:1:109:109	accessible	+	51	601
SYNTH:1:1:110:110	nucleosome	-	48	598
SYNTH:1:1:111:111	nucleosome	+	26	576
SYNTH:1:1:112:112	nucleosome	+	40	590
SYNTH:1:1:113:113	accessible	-	55	605
SYNTH:1:1:114:114	tf_bound	+	56	606
SYNTH:1:1:115:115	tf_bound	+	70	620
SYNTH:1:1:116:116	nucleosome	-	52	602
SYNTH:1:1:117:117	accessible	-	49	599
SYNTH:1:1:118:118	accessible	-	25	575
SYNTH:1:1:119:119	nucleosome	+	68	618
SYNTH:1:1:120:120	nucleosome	-	6	556
SYNTH:1:1:121:121	accessible	-	66	616
SYNTH:1:1:122:122	accessible	-	15	565
SYNTH:1:1:123:123	tf_bound	+	19	569
SYNTH:1:1:124:124	nucleosome	-	52	602
SYNTH:1:1:125:125	tf_bound	+	50	600
SYNTH:1:1:126:126	accessible	+	17	567
SYNTH:1:1:127:127	accessible	+	55	605
SYNTH:1:1:128:128	tf_bound	-	24	574
SYNTH:1:1:129:129	nucleosome	-	49	599
SYNTH:1:1:130:130	accessible	-	58	608
SYNTH:1:1:131:131	accessible	+	63	613
SYNTH:1:1:132:132	tf_bound	-	29	579
SYNTH:1:1:133:133	accessible	+	66	616
SYNTH:1:1:134:134	accessible	+	31	581
SYNTH:1:1:135:135	nucleosome	+	51	601
SYNTH:1:1:136:136	nucleosome	+	5	555
SYNTH:1:1:137:137	accessible	-	21	571
SYNTH:1:1:138:138	accessible	+	66	616
SYNTH:1:1:139:139	accessible	-	38	588
SYNTH:1:1:140:140	accessible	-	56	606
SYNTH:1:1:141:141	tf_bound	+	33	583
SYNTH:1:1:142:142	tf_bound	-	17	567
SYNTH:1:1:143:143	accessible	-	65	615
SYNTH:1:1:144:144	tf_bound	-	4	554
SYNTH:1:1:145:145	nucleosome	-	46	596
SYNTH:1:1:146:146	tf_bound	+	0	550
SYNTH:1:1:147:147	accessible	-	58	608
SYNTH:1:1:148:148	tf_bound	+	63	613
SYNTH:1:1:149:149	tf_bound	-	36	586
SYNTH:1:1:150:150	accessible	-	53	603
SYNTH:1:1:151:151	accessible	-	31	581
SYNTH:1:1:152:152	tf_bound	+	66	616
SYNTH:1:1:153:153	tf_bound	+	48	598
SYNTH:1:1:154:154	tf_bound	+	10	560
SYNTH:1:1:155:155	accessible	-	6	556
SYNTH:1:1:156:156	tf_bound	-	7	557
SYNTH:1:1:157:157	unclassified	-	67	617
SYNTH:1:1:158:158	tf_bound	+	4	554
SYNTH:1:1:159:159	nucleosome	+	14	564
SYNTH:1:1:160:160	accessible	+	7	557
SYNTH:1:1:161:161	nucleosome	+	35	585
SYNTH:1:1:162:162	nucleosome	+	50	600
SYNTH:1:1:163:163	accessible	-	61	611
SYNTH:1:1:164:164	accessible	+	14	564
SYNTH:1:1:165:165	tf_bound	+	20	570
SYNTH:1:1:166:166	accessible	-	13	563
SYNTH:1:1:167:167	unclassified	-	30	580
SYNTH:1:1:168:168	nucleosome	+	22	572
SYNTH:1:1:169:169	unclassified	-	47	597
SYNTH:1:1:170:170	tf_bound	+	53	603
SYNTH:1:1:171:171	tf_bound	-	58	608
SYNTH:1:1:172:172	nucleosome	-	46	596
SYNTH:1:1:173:173	nucleosome	-	25	575
SYNTH:1:1:174:174	accessible	-	27	577
SYNTH:1:1:175:175	nucleosome	-	59	609
SYNTH:1:1:176:176	tf_bound	+	36	586
SYNTH:1:1:177:177	nucleosome	+	5	555
SYNTH:1:1:178:178	tf_bound	-	19	569
SYNTH:1:1:179:179	accessible	+	36	586
SYNTH:1:1:180:180	accessible	+	41	591
SYNTH:1:1:181:181	tf_bound	+	4	554
SYNTH:1:1:182:182	accessible	-	29	579
SYNTH:1:1:183:183	accessible	-	50	600
SYNTH:1:1:184:184	tf_bound	-	11	561
SYNTH:1:1:185:185	nucleosome	-	50	600
SYNTH:1:1:186:186	tf_bound	+	15	565
SYNTH:1:1:187:187	accessible	-	67	617
SYNTH:1:1:188:188	nucleosome	-	48	598
SYNTH:1:1:189:189	tf_bound	-	59	609
SYNTH:1:1:190:190	unclassified	+	47	597
SYNTH:1:1:191:191	nucleosome	-	37	587
SYNTH:1:1:192:192	nucleosome	+	27	577
SYNTH:1:1:193:193	accessible	+	9	559
SYNTH:1:1:194:194	accessible	+	24	574
SYNTH:1:1:195:195	accessible	-	1	551
